word,sentiment
abandon,Negative
abandoned,Negative
abandoning,Negative
abandonment,Negative
abandonments,Negative
abandons,Negative
abdicated,Negative
abdicates,Negative
abdicating,Negative
abdication,Negative
abdications,Negative
aberrant,Negative
aberration,Negative
aberrational,Negative
aberrations,Negative
abetting,Negative
abnormal,Negative
abnormalities,Negative
abnormality,Negative
abnormally,Negative
abolish,Negative
abolished,Negative
abolishes,Negative
abolishing,Negative
abrogate,Negative
abrogated,Negative
abrogates,Negative
abrogating,Negative
abrogation,Negative
abrogations,Negative
abrupt,Negative
abruptly,Negative
abruptness,Negative
absence,Negative
absences,Negative
absenteeism,Negative
abuse,Negative
abused,Negative
abuses,Negative
abusing,Negative
abusive,Negative
abusively,Negative
abusiveness,Negative
accident,Negative
accidental,Negative
accidentally,Negative
accidents,Negative
accusation,Negative
accusations,Negative
accuse,Negative
accused,Negative
accuses,Negative
accusing,Negative
acquiesce,Negative
acquiesced,Negative
acquiesces,Negative
acquiescing,Negative
acquit,Negative
acquits,Negative
acquittal,Negative
acquittals,Negative
acquitted,Negative
acquitting,Negative
adulterate,Negative
adulterated,Negative
adulterating,Negative
adulteration,Negative
adulterations,Negative
adversarial,Negative
adversaries,Negative
adversary,Negative
adverse,Negative
adversely,Negative
adversities,Negative
adversity,Negative
aftermath,Negative
aftermaths,Negative
against,Negative
aggravate,Negative
aggravated,Negative
aggravates,Negative
aggravating,Negative
aggravation,Negative
aggravations,Negative
alerted,Negative
alerting,Negative
alienate,Negative
alienated,Negative
alienates,Negative
alienating,Negative
alienation,Negative
alienations,Negative
allegation,Negative
allegations,Negative
allege,Negative
alleged,Negative
allegedly,Negative
alleges,Negative
alleging,Negative
annoy,Negative
annoyance,Negative
annoyances,Negative
annoyed,Negative
annoying,Negative
annoys,Negative
annul,Negative
annulled,Negative
annulling,Negative
annulment,Negative
annulments,Negative
annuls,Negative
anomalies,Negative
anomalous,Negative
anomalously,Negative
anomaly,Negative
anticompetitive,Negative
antitrust,Negative
argue,Negative
argued,Negative
arguing,Negative
argument,Negative
argumentative,Negative
arguments,Negative
arrearage,Negative
arrearages,Negative
arrears,Negative
arrest,Negative
arrested,Negative
arrests,Negative
artificially,Negative
assault,Negative
assaulted,Negative
assaulting,Negative
assaults,Negative
assertions,Negative
attrition,Negative
aversely,Negative
backdating,Negative
bad,Negative
bail,Negative
bailout,Negative
balk,Negative
balked,Negative
bankrupt,Negative
bankruptcies,Negative
bankruptcy,Negative
bankrupted,Negative
bankrupting,Negative
bankrupts,Negative
bans,Negative
barred,Negative
barrier,Negative
barriers,Negative
bottleneck,Negative
bottlenecks,Negative
boycott,Negative
boycotted,Negative
boycotting,Negative
boycotts,Negative
breach,Negative
breached,Negative
breaches,Negative
breaching,Negative
breakage,Negative
breakages,Negative
breakdown,Negative
breakdowns,Negative
breaking,Negative
breaks,Negative
bribe,Negative
bribed,Negative
briberies,Negative
bribery,Negative
bribes,Negative
bribing,Negative
bridge,Negative
broken,Negative
burden,Negative
burdened,Negative
burdening,Negative
burdens,Negative
burdensome,Negative
burned,Negative
calamities,Negative
calamitous,Negative
calamity,Negative
cancel,Negative
canceled,Negative
canceling,Negative
cancellation,Negative
cancellations,Negative
cancelled,Negative
cancelling,Negative
cancels,Negative
careless,Negative
carelessly,Negative
carelessness,Negative
catastrophe,Negative
catastrophes,Negative
catastrophic,Negative
catastrophically,Negative
caution,Negative
cautionary,Negative
cautioned,Negative
cautioning,Negative
cautions,Negative
cease,Negative
ceased,Negative
ceases,Negative
ceasing,Negative
censure,Negative
censured,Negative
censures,Negative
censuring,Negative
challenge,Negative
